Idle,Idle 2,Idle 3,Measurement,Wifi on,TX,,,,,,,,,,,,,,
747,24162,49796,30,255936,156,,,,,,,,,,,,,,
730,24167,49800,31,247947,156,,,,,,,,,,,,,,
834,24177,49800,30,247443,156,,,,,,,,,,,,,,
883,15339,49800,26,247933,156,,,,,,,,,,,,,,
854,15352,49800,30,247364,156,,,,,,,,,,,,,,
819,4782,49800,31,247871,156,,,,,,,,,,,,,,
835,1653,49800,30,247965,157,,,,,,,,,,,,,,
850,1656,49800,30,247965,157,,,,,,,,,,,,,,
825,1627,49800,30,248018,157,,,,micros,millis,,,micros,millis,,,,,
869,762,49800,30,247623,157,,,idle,821.928571428571,0.821928571428572,,idle tot ,62160.25,62.16025,,,,,
882,766,49800,27,247505,157,,,idle2,11538.4642857143,11.5384642857143,,,,,,,,,
850,774,49800,30,247846,157,,,idle3,49799.8571428571,49.7998571428571,,,,,,,,,
727,760,49800,30,247347,157,,,measure,29.8571428571429,0.0298571428571429,,,,,,,,,
838,8706,49800,30,247709,156,,,wifi on,248108.928571429,248.108928571429,,,,,,,,,
835,8700,49800,31,247918,155,,,tx,156.142857142857,0.156142857142857,,,,,,,,,
833,8704,49800,30,247916,156,,,,,,,,,,,,,,
850,16999,49800,30,247622,156,,,,,,,,,,,,,,
818,12476,49800,30,249175,156,,,,,,,,,,,,,,
731,12471,49800,30,247643,155,,,,,,,,,,,,,,
840,12471,49800,30,247838,156,,,,,,,,,,,,,,
845,7882,49800,31,247831,156,,,,,,,,,,,,,,
883,7885,49800,27,247387,156,,,,,,,,,,,,,,\bei
840,18471,49800,31,247837,156,,,,,,,,,,,,,,
727,18470,49800,30,247637,156,,,,,,,,,,,,,,
843,18461,49800,31,248156,156,,,,,,,,,,,,,,
841,18472,49800,30,247837,155,,,,,,,,,,,,,,
750,18469,49800,30,247626,156,,,,,,,,,,,,,,
835,18463,49800,30,248155,156,,,,,,,,,,,,,,
